STANDARD_NUMBER_DESCRIPTION,2014.0,2015.0,2016.0,2017.0,of_interest
744.3207(a) - Measurement of Use Zone for Swings - in Front and Rear,0,0,1,0,False
746.2707(6) - Activities for School-age - Provide Indoor and Outdoor Active Play,0,0,3,0,False
744.201(9) - Complying with Laws and Rules,0,2,4,0,False
744.605(2) - Required Admission Information - Address and Phone Number,0,1,2,0,False
744.2103 - Positive Methods of Discipline and Guidance,0,0,2,0,False
746.1801(c) - Child/Caregiver Ratio for Field Trips - Controlled Areas,0,0,1,0,False
744.3107(b)(4) - Equipment Prohibited for Younger Than 4 Yrs - Over-head Rings and Parallel Bars,0,0,1,0,False
744.2103(3) - Positive Methods of Discipline and Guidance - Redirecting Behavior,0,1,1,0,False
745.625(a)3) - Initial background checks submitted - At the time you contract with someone who requires a background check,0,1,0,0,False
744.3101(a)(8) - No Asphalt or Concrete Under Climbing Equipment Unless Unitary Surfacing Covers,0,1,0,0,False
746.2205(a)(8) - Written Activity Plan - Allow Children to Progress at Developmental Rate,0,0,1,0,False
746.2809(b) - Written Discipline and Guidance Policy - Provide Copy to Parents and Employees,0,0,6,0,False
744.2103(4) - Positive Methods of Discipline and Guidance - Brief Supervised Separation,0,0,4,0,False
744.605(3) - Required Admission Information - Date of Admission,0,2,8,0,False
744.605(4) - Required Admission Information - Parents' Information,0,2,2,0,False
744.3101(a)(5) - Safety Requirements for Active Play Equipment - Securely Anchored,0,1,1,0,False
744.605(5) - Required Admission Information - Parents' Phone Numbers,0,1,1,0,False
745.629 - Subject of the Fingerprint Check-must submit the fingerprints electronically through the assigned applicant fingerprinting service center of DFPS,0,0,1,0,False
"744.2105(3) - Prohibited Punishments - Pinching, Shaking, or Biting",0,0,1,0,False
744.3101(a)(3) - Safety Requirements for Active Play Equipment - No Entrapment Openings,0,0,1,0,False
744.2963 - Other Programs Using Licensed Outdoor Space - Must have written plan regarding supervision.,0,2,1,0,False
744.605(6) - Required Admission Information - Emergency Contact,0,13,51,0,False
746.2703(1)(B) - Space Requirements for School-age - Interest Centers Arranged for Proper Supervision,0,0,2,0,False
744.3101(a)(11) - Active Play Safety Requirements for Care in a Public School Facility,0,0,2,0,False
744.3101(a)(1) - Safety Requirements for Active Play Equipment - Arranged for Supervision,0,1,1,0,False
746.2809(a) - Written Discipline and Guidance Policy,0,0,4,0,False
744.2909 - Other Programs Must Not Use Licensed Indoor Space,0,1,3,0,False
746.2701(4) - Care Requirements for School-age - Caregiver Aware of Arrival/Departure,0,1,0,0,False
744.1103 - Minimum Qualifications  Employees and Caregivers,0,0,1,0,False
746.1311(e) - Director Annual Training - More Than 5 Years Experience,0,1,1,0,False
746.2507(5) - Activities for Toddlers - Provide Indoor and Outdoor Active Play,0,0,2,0,False
746.1311(d) - Director Annual Training -Less Than 5 Years Experience,0,0,5,0,False
744.907(a) - Personnel Record Storage,0,0,1,0,False
744.801(3) - Required Records Maintained and Made Available - Director's Certificate,0,1,1,0,False
744.401(6) - Posting Requirements - Licensing Notice of Availability for Review,0,1,3,0,False
746.303(2) - Report Change in Designee,0,2,1,0,False
746.1311(c) - Director Annual Training - One Clock Hour Prevention of Child Abuse and Neglect,0,11,33,0,False
746.1311(b) - Director Annual Training - 6 Hours in Specific Topics,0,2,0,0,False
"744.401(5) - Posting Requirements - Daily menu, including all snacks and meals served by the program",0,3,8,0,False
744.401(3) - Posting Requirements - Licensing Notice - Keeping Children Safe,0,0,1,0,False
744.405(a)(2) - Required posting of Emergency Telephone numbers-Poison Control Phone Number,0,0,1,0,False
744.2655(c)(2) - Medication Records - Name of Medication,0,0,1,0,False
744.1015(b) - Operation and Program Director Qualifications - Renewal Required,0,3,4,0,False
744.405(a)(3) - Required posting of Emergency Telephone number-Dept Family Protective Srvs Child Abuse Hotline,0,0,1,0,False
744.401(2) - Posting Requirements - Letter or form from the most recent Licensing Inspection or Investigation,0,4,14,0,False
744.1057(a) - Director Already Qualified - Provide Certificate,0,1,0,0,False
746.2507(3) - Activities for Toddlers - Provide Small Muscle Development,0,0,1,0,False
746.2607(2) - Activities for Pre-Kindergarten Age - Provide Thinking Skills and Sensory Development,0,1,0,0,False
744.401(1) - Posting Requirements - License,0,3,4,0,False
746.1507(4) - Determining Child/Caregiver Ratios - All Children Included,0,0,1,0,False
744.3817(b) - Driver Has Current Driver's License,0,1,0,0,False
746.1403(a) - Volunteer Qualifications - Not Counted in Ratio,0,0,2,0,False
745.247 - Franchise Tax Delinquent,0,0,1,0,False
744.2577(1) - Critical Illness or Injury - Contact EMS,0,0,1,0,False
744.2657(1) - Storage of Medication - Inaccessible to Children,0,1,4,0,False
"744.2705(a) - Animals at Operation - No Contact with Chickens, Ducks, Reptiles",0,0,1,0,False
746.1309(g) - Documented Annual Training - Self- Instructional up to 50%,0,0,7,0,False
"744.2655(c)(3) - Medication Records - Date, Time and Amount Given",0,0,3,0,False
746.1311(f) - Director Annual Training - Special Topics for Infant Care,0,15,51,0,False
746.1311(g) - Director Annual Training - Specific Topics,0,0,2,0,False
744.2655(c)(1) - Medication Records - Name of Child,0,0,1,0,False
746.1329(a)(2) - Documentation of Training Requirements - Date,0,1,2,0,False
746.307(a)(3) - Situation that Placed a Child at Risk,0,0,1,0,False
744.801(9) - Required Records Maintained and Made Available - Medication Records,0,0,1,0,False
744.2655(a)(1) - Administering Medication - According to Label Directions,0,0,1,0,False
746.1327 - Self- Instructional - Number of Hours,0,0,1,0,False
744.1003(b)(2) - Program Director -  Supervise up to 5 Site Directors SAP or Combination With BAP,0,0,1,0,False
746.2409(a)(7) - Safety Requirements for Cribs - No Areas to Entrap Head or Body,0,0,1,0,False
746.1317(d)(4) - Training Criteria - Certificate,0,0,10,0,False
744.901(10) - Required Personnel Records- signed dated statement that employee attended abuse/neglect training,0,3,2,0,False
746.2603(1) - Space Requirements for Pre-Kindergarten Age - Does Not Limit Movement,0,0,2,0,False
744.401(6)(D) - Posting Requirements - Available for review-Licensing minimum standards applicable for school-age and before or after-school programs,0,0,1,0,False
744.2655(b)(2) - Administering Medication - Only to Child for Whom Intended,0,0,1,0,False
744.401(6)(C) - Posting Requirements - Available for review-most recent gas inspection report,0,0,2,0,False
744.401(9) - Posting Requirements- Any other Licensing notices with specific instructions to post,0,0,1,0,False
744.401(6)(B) - Posting Requirements - Available for review-most recent sanitation inspection report,0,0,1,0,False
746.305(a)(4) - Report of Criminal Complaint Against Employees,0,0,1,0,False
746.1313 - Time Period of Training,0,0,3,0,False
744.1005(a)(4) - Director Responsibilities - Employees Supervised,0,0,1,0,False
746.1311(k) - Documented Annual Training - Self- Instructional up to 50%,0,1,4,0,False
"746.1311(j) - Director Annual Training - No Hours For Presenting Training, Except Up to 2 Hours of Transportation",0,0,4,0,False
744.403(a) - Posting Requirements - Prominent & Public,0,1,0,0,False
744.401(6)(A) - Posting Requirements - Available for review-most recent fire inspection report,0,0,1,0,False
746.2509 - Toddler Daily Report,0,0,1,0,False
744.1013(b) - Director's Absence - Extended Period,0,0,1,0,False
746.1311(h) - Director Annual Training-Transportation Safety,0,33,91,0,False
744.1013(b)(1) - Director's Absence -  Caregiver in Charge Knows in Charge,0,2,3,0,False
744.801(4) - Required Records Maintained and Made Available - Employees' Attendance,0,0,1,0,False
744.1013(c) - Director's Absence -  Employees Know Who Is in Charge,0,1,0,0,False
744.2655(b)(3) - Administering Medication - Not After Expiration Date,0,0,1,0,False
746.1309(g) - Documented Annual Training - Remaining training hour topics,0,0,1,0,False
744.1105 - Additional Minimum Qualifications for Caregivers,0,0,1,0,False
744.2409(a) - Parent Provided Meals/Snacks - Statement on Enrollment Agreement,0,0,1,0,False
744.3805(4) - Safety Precautions for Loading and Unloading Children - No Child Unattended,0,0,2,0,False
746.2409(c) - Safety Requirements for Cribs - Children Not in Crib with Drop Gate Down,0,1,3,0,False
746.1309(b) - Documented Annual Training - 6 Hour in Specific Topics,0,2,2,0,False
744.3755(b) - Install CO Detection-Electronic CO Detection System-Installed According to State or Local Fire Marshal's Instructions,0,0,2,0,False
744.3611(a) - Smoke-Detection System,0,0,1,0,False
746.2411(1)(A) - Safety Requirements for Mesh or Port-a Cribs - Minimum Height,0,0,2,0,False
"745.4151(c)(2) - Drug policy includes statement of scope, including  applicability to all employees, contract employees and volunteers that have contact with children",0,0,1,0,False
744.3805(3) - Safety Precautions for Loading and Unloading Children - Account for All Children,0,0,2,0,False
744.3805(2) - Safety Precautions for Loading and Unloading Children - Crossing Street,0,1,0,0,False
746.2411(1)(C) - Safety Requirements for Mesh or Port-a Cribs - Mesh Securely Attached,0,1,2,0,False
744.3805(1) - Safety Precautions for Loading and Unloading Children - Curbside,0,0,1,0,False
744.1105(3) - Additional Minimum Qualifications for Caregivers -  Preservice Training,0,0,5,0,False
746.301(1) - Notification of Changing Location,0,1,0,0,False
746.1303(2) - Orientation - Operation Policies,0,2,3,0,False
"744.3757(a)(4) - Electronic or Battery-Operated CO System-Document Tests, New Battery Installation and Name of Responsible Employee",0,0,2,0,False
744.1303(4) - Orientation - Handling Emergencies,0,0,1,0,False
744.1303(5) - Orientation - Fire Extinguishers & First Aid Equipment,0,1,0,0,False
746.2413(3) - Requirements for Stacking Wall Cribs - Doors Securely Fastened,0,0,1,0,False
744.2803(b) - Policies for Release of Children - Record Identity of Person,0,0,1,0,False
744.501(18) - Written Operational Policies- Procedures for Parents Participation,0,0,2,0,False
